Produto;Espécie;Região;Mercado;Semana;Data;Mínima;Máxima;Freq 
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;21;19-05-2025;0.53;0.56;0.54
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;21;19-05-2025;0.25;0.27;0.26
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;19;08-05-2023;5.0;7.0;6.0
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;19;08-05-2023;0.75;1.0;0.85
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;19;08-05-2023;0.26;0.3;0.28
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;20;15-05-2023;5.0;7.0;6.0
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;20;15-05-2023;0.75;1.0;0.85
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;20;15-05-2023;0.26;0.3;0.28
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;21;22-05-2023;5.0;7.0;6.0
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;22;26-05-2025;3.0;3.6;3.4
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;21;22-05-2023;0.75;1.0;0.85
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;21;22-05-2023;0.26;0.3;0.28
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;22;29-05-2023;5.0;7.0;6.0
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;22;29-05-2023;0.75;1.0;0.85
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;22;29-05-2023;0.26;0.3;0.28
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;22;26-05-2025;0.53;0.56;0.54
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;22;26-05-2025;0.25;0.27;0.26
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;25;19-06-2023;5.0;7.0;6.0
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;23;05-06-2023;5.0;7.0;6.0
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;23;05-06-2023;0.75;1.0;0.85
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;23;05-06-2023;0.26;0.3;0.28
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;23;02-06-2025;3.0;3.6;3.4
Alfarroba*Inteira*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;23;02-06-2025;0.53;0.56;0.54
Alfarroba*Triturado Grosso*SP*II*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;23;02-06-2025;0.25;0.27;0.26
Alfarroba*Graínha*SP*I*Saco 50 kg*EUR/kg;Alfarroba; Algarve;Algarve;24;12-06-2023;5.0;7.0;6.0
